name,load,startTime,endTime,startPos,endPos
DeRotterda.West.LW.LW02,4,2014-04-03 03:50:06,2014-04-03 03:50:21,7,1
DeRotterda.West.LW.LW02,3,2014-04-03 03:50:40,2014-04-03 03:50:48,1,0
DeRotterda.West.LW.LW02,0,2014-04-03 06:09:17,2014-04-03 06:09:38,0,12
DeRotterda.West.LW.LW02,3,2014-04-03 06:09:48,2014-04-03 06:10:09,12,0
DeRotterda.West.LW.LW02,0,2014-04-03 06:31:21,2014-04-03 06:31:31,0,2
DeRotterda.West.LW.LW02,7,2014-04-03 06:31:41,2014-04-03 06:32:12,2,25
DeRotterda.West.LW.LW02,3,2014-04-03 06:57:22,2014-04-03 06:57:43,25,10
DeRotterda.West.LW.LW02,6,2014-04-03 06:57:52,2014-04-03 06:58:12,10,0
DeRotterda.West.LW.LW02,0,2014-04-03 07:01:22,2014-04-03 07:01:53,0,22
DeRotterda.West.LW.LW02,5,2014-04-03 07:02:02,2014-04-03 07:02:30,22,2
DeRotterda.West.LW.LW02,0,2014-04-03 07:03:07,2014-04-03 07:03:25,2,12
DeRotterda.West.LW.LW02,6,2014-04-03 07:03:33,2014-04-03 07:03:56,12,0
DeRotterda.West.LW.LW02,0,2014-04-03 07:04:02,2014-04-03 07:04:25,0,14
DeRotterda.West.LW.LW02,5,2014-04-03 07:04:33,2014-04-03 07:04:57,14,0
DeRotterda.West.LW.LW02,0,2014-04-03 07:05:36,2014-04-03 07:06:09,0,23
DeRotterda.West.LW.LW02,10,2014-04-03 07:06:16,2014-04-03 07:06:46,23,2
DeRotterda.West.LW.LW02,0,2014-04-03 07:08:14,2014-04-03 07:08:24,2,0
DeRotterda.West.LW.LW02,19,2014-04-03 07:08:38,2014-04-03 07:08:57,0,9
DeRotterda.West.LW.LW02,22,2014-04-03 07:11:36,2014-04-03 07:12:03,9,29
DeRotterda.West.LW.LW02,12,2014-04-03 07:12:58,2014-04-03 07:13:09,29,25
DeRotterda.West.LW.LW02,7,2014-04-03 07:13:42,2014-04-03 07:14:04,25,9
DeRotterda.West.LW.LW02,5,2014-04-03 07:15:59,2014-04-03 07:16:18,9,0
DeRotterda.West.LW.LW02,3,2014-04-03 07:18:49,2014-04-03 07:18:57,0,1
DeRotterda.West.LW.LW02,3,2014-04-03 07:22:01,2014-04-03 07:22:09,1,2
DeRotterda.West.LW.LW02,13,2014-04-03 07:29:16,2014-04-03 07:29:53,2,30
DeRotterda.West.LW.LW02,4,2014-04-03 07:30:08,2014-04-03 07:30:20,30,25
DeRotterda.West.LW.LW02,13,2014-04-03 07:30:33,2014-04-03 07:30:59,25,44
DeRotterda.West.LW.LW02,5,2014-04-03 07:35:20,2014-04-03 07:35:41,44,30
DeRotterda.West.LW.LW02,15,2014-04-03 07:35:51,2014-04-03 07:36:31,30,0
DeRotterda.West.LW.LW02,5,2014-04-03 07:37:25,2014-04-03 07:37:35,0,2
DeRotterda.West.LW.LW02,0,2014-04-03 07:38:14,2014-04-03 07:38:24,2,0
DeRotterda.West.LW.LW02,3,2014-04-03 07:38:32,2014-04-03 07:38:50,0,9
DeRotterda.West.LW.LW02,4,2014-04-03 07:41:28,2014-04-03 07:41:47,9,22
DeRotterda.West.LW.LW02,6,2014-04-03 07:42:24,2014-04-03 07:42:44,22,9
DeRotterda.West.LW.LW02,5,2014-04-03 07:43:41,2014-04-03 07:44:09,9,30
DeRotterda.West.LW.LW02,7,2014-04-03 07:44:55,2014-04-03 07:45:10,30,22
DeRotterda.West.LW.LW02,6,2014-04-03 07:45:51,2014-04-03 07:46:11,22,9
DeRotterda.West.LW.LW02,5,2014-04-03 07:47:05,2014-04-03 07:47:25,9,0
DeRotterda.West.LW.LW02,0,2014-04-03 07:47:59,2014-04-03 07:48:22,0,14
DeRotterda.West.LW.LW02,6,2014-04-03 07:48:30,2014-04-03 07:48:54,14,0
DeRotterda.West.LW.LW02,12,2014-04-03 07:53:04,2014-04-03 07:53:56,0,43
DeRotterda.West.LW.LW02,19,2014-04-03 07:54:04,2014-04-03 07:54:11,43,42
DeRotterda.West.LW.LW02,5,2014-04-03 08:13:46,2014-04-03 08:15:14,42,14
DeRotterda.West.LW.LW02,22,2014-04-03 08:15:26,2014-04-03 08:15:35,14,12
DeRotterda.West.LW.LW02,26,2014-04-03 08:15:44,2014-04-03 08:16:04,12,1
DeRotterda.West.LW.LW02,20,2014-04-03 08:16:12,2014-04-03 08:16:21,1,0
DeRotterda.West.LW.LW02,1,2014-04-03 08:17:20,2014-04-03 08:17:39,0,8
DeRotterda.West.LW.LW02,6,2014-04-03 08:17:48,2014-04-03 08:18:05,8,0
DeRotterda.West.LW.LW02,7,2014-04-03 08:18:29,2014-04-03 08:18:50,0,12
DeRotterda.West.LW.LW02,1,2014-04-03 08:19:01,2014-04-03 08:19:40,12,44
DeRotterda.West.LW.LW02,4,2014-04-03 08:21:01,2014-04-03 08:21:22,44,30
DeRotterda.West.LW.LW02,9,2014-04-03 08:21:33,2014-04-03 08:22:03,30,7
DeRotterda.West.LW.LW02,6,2014-04-03 08:24:14,2014-04-03 08:24:44,7,30
DeRotterda.West.LW.LW02,4,2014-04-03 08:24:53,2014-04-03 08:25:06,30,25
DeRotterda.West.LW.LW02,7,2014-04-03 08:25:12,2014-04-03 08:25:47,25,0
DeRotterda.West.LW.LW02,0,2014-04-03 08:27:25,2014-04-03 08:27:56,0,22
DeRotterda.West.LW.LW02,9,2014-04-03 08:28:04,2014-04-03 08:28:36,22,0
DeRotterda.West.LW.LW02,0,2014-04-03 08:29:39,2014-04-03 08:30:03,0,14
DeRotterda.West.LW.LW02,10,2014-04-03 08:30:12,2014-04-03 08:30:36,14,0
DeRotterda.West.LW.LW02,0,2014-04-03 08:30:45,2014-04-03 08:31:09,0,15
DeRotterda.West.LW.LW02,5,2014-04-03 08:31:18,2014-04-03 08:31:43,15,0
DeRotterda.West.LW.LW02,0,2014-04-03 08:36:57,2014-04-03 08:37:51,0,44
DeRotterda.West.LW.LW02,8,2014-04-03 08:38:00,2014-04-03 08:38:06,44,43
DeRotterda.West.LW.LW02,4,2014-04-03 08:38:15,2014-04-03 08:38:22,43,42
DeRotterda.West.LW.LW02,9,2014-04-03 08:38:30,2014-04-03 08:39:20,42,1
DeRotterda.West.LW.LW02,0,2014-04-03 08:53:57,2014-04-03 08:54:12,1,8
DeRotterda.West.LW.LW02,4,2014-04-03 08:54:21,2014-04-03 08:54:39,8,0
DeRotterda.West.LW.LW02,0,2014-04-03 08:56:44,2014-04-03 08:57:38,0,44
DeRotterda.West.LW.LW02,13,2014-04-03 08:57:47,2014-04-03 08:58:13,44,25
DeRotterda.West.LW.LW02,3,2014-04-03 08:58:59,2014-04-03 08:59:33,25,0
DeRotterda.West.LW.LW02,0,2014-04-03 08:59:43,2014-04-03 08:59:53,0,2
DeRotterda.West.LW.LW02,13,2014-04-03 09:00:28,2014-04-03 09:00:56,2,22
DeRotterda.West.LW.LW02,3,2014-04-03 09:04:52,2014-04-03 09:05:06,22,15
DeRotterda.West.LW.LW02,6,2014-04-03 09:05:16,2014-04-03 09:05:41,15,0
DeRotterda.West.LW.LW02,0,2014-04-03 09:06:01,2014-04-03 09:06:37,0,26
DeRotterda.West.LW.LW02,11,2014-04-03 09:06:50,2014-04-03 09:07:15,26,44
DeRotterda.West.LW.LW02,5,2014-04-03 09:07:25,2014-04-03 09:07:40,44,36
DeRotterda.West.LW.LW02,7,2014-04-03 09:07:49,2014-04-03 09:07:56,36,35
DeRotterda.West.LW.LW02,8,2014-04-03 09:09:05,2014-04-03 09:09:12,35,34
DeRotterda.West.LW.LW02,7,2014-04-03 09:10:16,2014-04-03 09:10:23,34,35
DeRotterda.West.LW.LW02,8,2014-04-03 09:10:33,2014-04-03 09:10:42,35,33
DeRotterda.West.LW.LW02,7,2014-04-03 09:11:13,2014-04-03 09:11:20,33,32
DeRotterda.West.LW.LW02,7,2014-04-03 09:12:03,2014-04-03 09:12:11,32,31
DeRotterda.West.LW.LW02,7,2014-04-03 09:12:41,2014-04-03 09:12:47,31,30
DeRotterda.West.LW.LW02,7,2014-04-03 09:16:57,2014-04-03 09:17:04,30,29
DeRotterda.West.LW.LW02,7,2014-04-03 09:19:40,2014-04-03 09:19:47,29,28
DeRotterda.West.LW.LW02,7,2014-04-03 09:20:20,2014-04-03 09:20:27,28,27
DeRotterda.West.LW.LW02,7,2014-04-03 09:21:05,2014-04-03 09:21:12,27,26
